timestamp,suhu,kelembaban,kecepatan_angin,arah_angin,tekanan_udara,intensitas_hujan
2025-09-22 11:32:15.879367,28.85,75,1.86,29,1012,0.0
2025-09-22 11:33:15.989352,28.85,75,1.86,29,1012,0.0
2025-09-22 11:34:16.098843,28.85,75,1.86,29,1012,0.0
2025-09-22 11:35:16.193788,28.85,75,1.86,29,1012,0.0
2025-09-22 11:36:16.494224,28.85,75,1.86,29,1012,0.0
2025-09-22 11:37:16.824715,29.3,54,2.12,14,1010,0.0
2025-09-22 11:38:16.956549,29.3,54,2.12,14,1010,0.0
2025-09-22 11:39:17.086485,29.3,54,2.12,14,1010,0.0
2025-09-22 11:40:17.223665,29.3,54,2.12,14,1010,0.0
2025-09-22 11:41:17.406873,29.3,54,2.12,14,1010,0.0
2025-09-22 11:42:17.578246,29.3,54,2.12,14,1010,0.0
2025-09-22 11:43:17.740010,29.3,54,2.12,14,1010,0.0
2025-09-22 11:44:17.897666,29.3,54,2.12,14,1010,0.0
2025-09-22 11:45:18.005907,29.3,54,2.12,14,1010,0.0
2025-09-22 11:46:18.254163,29.3,54,2.12,14,1010,0.0
2025-09-22 11:47:18.393090,29.3,54,2.12,14,1010,0.0
2025-09-22 11:48:18.508546,29.3,54,2.12,14,1010,0.0
2025-09-22 11:49:18.684570,29.3,54,2.12,14,1010,0.0
2025-09-22 11:50:18.836855,29.3,54,2.12,14,1010,0.0
2025-09-22 11:51:18.944916,29.3,54,2.12,14,1010,0.0
2025-09-22 11:52:19.066771,29.36,53,2.12,14,1010,0.0
2025-09-22 11:53:19.191200,29.36,53,2.12,14,1010,0.0
2025-09-22 11:54:19.322932,29.36,53,2.12,14,1010,0.0
2025-09-22 11:55:19.450908,29.36,53,2.12,14,1010,0.0
2025-09-22 11:56:19.608541,29.36,53,2.12,14,1010,0.0
2025-09-22 11:57:19.735748,29.36,53,2.12,14,1010,0.0
2025-09-22 11:58:19.837164,29.36,53,2.12,14,1010,0.0
2025-09-22 11:59:19.988555,29.36,53,2.12,14,1010,0.0
2025-09-22 12:00:20.166719,29.36,53,2.12,14,1010,0.0
2025-09-22 12:01:20.293097,29.36,53,2.12,14,1010,0.0
2025-09-22 12:02:20.419694,29.36,53,2.12,14,1010,0.0
2025-09-22 12:03:20.571564,29.36,53,2.12,14,1010,0.0
2025-09-22 12:04:20.685282,29.36,53,2.12,14,1010,0.0
2025-09-22 12:05:20.807400,29.36,53,2.12,14,1010,0.0
2025-09-22 12:06:20.980231,29.36,53,2.12,14,1010,0.0
2025-09-22 12:07:21.098483,29.36,53,2.12,14,1010,0.0
2025-09-22 12:08:21.194780,29.36,53,2.12,14,1010,0.0
2025-09-22 12:09:21.304927,29.36,53,2.12,14,1010,0.0
2025-09-22 12:10:21.481693,29.35,56,2.12,14,1010,0.0
2025-09-22 12:11:21.601166,29.35,56,2.12,14,1010,0.0
2025-09-22 12:12:21.699346,29.35,56,2.12,14,1010,0.0
2025-09-22 12:13:21.833464,29.35,56,2.12,14,1010,0.0
2025-09-22 12:14:21.942045,29.35,56,2.12,14,1010,0.0
2025-09-22 12:15:22.074664,29.35,56,2.12,14,1010,0.0
2025-09-22 12:16:22.329364,29.35,56,2.12,14,1010,0.0
2025-09-22 12:17:22.461161,29.35,56,2.12,14,1010,0.0
2025-09-22 12:18:22.594639,29.35,56,2.12,14,1010,0.0
2025-09-22 12:19:22.935031,29.44,56,2.12,14,1010,0.0
2025-09-22 12:20:23.149622,29.44,56,2.12,14,1010,0.0
2025-09-22 12:21:23.313546,29.44,56,2.12,14,1010,0.0
2025-09-22 12:22:23.478195,29.44,56,2.12,14,1010,0.0
2025-09-22 12:23:23.630581,29.44,56,2.12,14,1010,0.0
2025-09-22 12:24:23.794402,29.44,56,2.12,14,1010,0.0
2025-09-22 12:25:23.907030,29.44,56,2.12,14,1010,0.0
2025-09-22 12:26:24.112154,29.44,56,2.12,14,1010,0.0
2025-09-22 12:27:24.250208,29.44,56,2.12,14,1010,0.0
2025-09-22 12:28:24.380401,29.44,56,2.12,14,1010,0.0
2025-09-22 12:29:24.518132,29.44,56,2.12,14,1010,0.0
2025-09-22 12:30:24.640133,29.44,56,2.12,14,1010,0.0
2025-09-22 12:31:24.866168,29.44,56,2.12,14,1010,0.0
2025-09-22 12:32:25.134526,29.44,56,2.12,14,1010,0.0
2025-09-22 12:33:25.257931,29.44,56,2.12,14,1010,0.0
2025-09-22 12:34:25.389811,29.44,56,2.12,14,1010,0.0
2025-09-22 12:35:25.604112,29.44,56,2.12,14,1010,0.0
2025-09-22 12:36:25.861179,29.44,56,2.12,14,1010,0.0
2025-09-22 12:37:26.003163,30.79,52,2.7,3,1009,0.0
2025-09-22 12:38:26.095612,30.79,52,2.7,3,1009,0.0
2025-09-22 12:39:26.210998,30.79,52,2.7,3,1009,0.0
2025-09-22 12:40:26.521134,30.79,52,2.7,3,1009,0.0
2025-09-22 12:41:26.798498,30.79,52,2.7,3,1009,0.0
2025-09-22 12:42:27.002080,30.79,52,2.7,3,1009,0.0
2025-09-22 12:43:27.126588,30.79,52,2.7,3,1009,0.0
2025-09-22 12:44:27.282585,30.79,52,2.7,3,1009,0.0
